commit	mae	memory_gb	axis	status	description
d1307aa	0.202686	2.4	A4	discard	multi-pass angle update per layer (slow)
165260d	0.155959	1.1	A4	discard	n_layers 4->5 with wider RBF
9b5715e	0.167561	0.9	A3	discard	Bessel basis with cosine envelope
3740824	0.157062	0.9	A3	discard	RBF centers shifted to 0.5..cutoff
efcb2cb	0.159759	0.9	A3	discard	composition globals (mean+std)
b83152a	0.163942	1.0	A4	discard	deeper readout 2 hidden layers
e96efa6	0.157713	0.9	A3	discard	angle RBF n_ang 8->16
0a46bfc	0.159045	0.9	A6	discard	AdamW wd=1e-5
5ab6b40	0.156775	0.9	A3	discard	third-side RBF in angle update
cb7fce4	0.155630	0.9	A6	discard	EMA decay 0.005->0.003
8998b14	0.166018	0.9	A6	discard	L1 -> Huber beta=0.5
41eb69d	0.158281	0.9	A6	discard	EMA 0.005->0.002
b88af65	0.158436	0.9	A1	discard	cutoff 5.0->6.0 with K=12
dbcb755	0.160764	0.9	A3	discard	learnable per-center RBF gamma
e7ace64	0.159931	0.9	A6	discard	SCHED_TMAX 48x->33x
96abcc3	0.166124	1.2	A1	discard	K 12 -> 14
4a21a6c	0.170697	0.9	A4	discard	GTU sigmoid*tanh in CGConv
35d6b29	0.158978	0.9	A4	discard	remove dropout 0.05->0
93e7735	0.157021	0.9	A6	discard	EMA 0.005 -> 0.007
b431fb7	0.165909	1.3	A6	discard	BATCH 64 -> 96
f1ce00d	nan	0.9	A4	discard	CFConv (SchNet style) NaN
e6e65ed	0.167066	1.1	A4	discard	M3GNet edge update per conv
c77037f	0.173451	0.9	A4	discard	remove BN from CGConv
8483075	0.162007	0.9	A4	discard	add sqrt sum pool
1e08a1b	0.171026	1.0	A4	discard	dim 120 -> 132
49a3f53	0.155914	0.9	A6	discard	clamp predictions at 0
2f72aba	0.161313	0.9	A6	discard	log1p target / expm1 predict
0a531ad	0.165621	0.9	A6	discard	LR 1e-3 -> 1.5e-3
07585c2	0.161514	0.9	A6	discard	LR 1e-3 -> 5e-4
415acd0	0.173724	1.5	A4	discard	TWO angle updates
69072ce	0.157914	0.9	A6	discard	grad clip max_norm=5
405e45c	0.170162	1.6	A6	discard	BATCH 128 + LR 2e-3
77d9109	0.158450	0.9	A6	discard	student+EMA blend 50/50
133654d	0.161151	1.2	A4	discard	deeper angle MLP 2 hidden
043682e	0.159707	0.9	A4	discard	SiLU -> GELU activation
e87a690	0.161263	0.9	A3	discard	raw d/cutoff and 1/d in edge_mlp
d3113ee	0.162794	0.9	A6	discard	Adam betas (0.9, 0.99)
77e8bec	0.157143	0.9	A6	discard	dual EMA (0.005, 0.001)
888f0dc	0.166241	0.9	A4	discard	CGConv sum -> mean agg
ddceadc	0.155912	0.9	A6	discard	eta_min 1e-5 -> 1e-6
4b28028	0.155949	0.9	A6	discard	LR warmup 1000 steps
feac2fe	0.171162	1.1	A4	discard	dim=144 n_layers=3
a5489ab	0.157515	0.9	A6	discard	weighted L1 1.5x non-zero
db25eaf	0.181726	0.9	A4	discard	BN -> GroupNorm
2441193	0.162893	1.0	A4	discard	dim 120 -> 124
7866938	0.159286	0.9	A6	discard	SCHED_TMAX 48x -> 60x
b1422da	0.157749	0.9	A6	discard	BN momentum 0.1 -> 0.01
649d92f	0.160399	0.9	A6	discard	EMA buffers smoothing
d6e2e73	0.161549	0.9	A3	discard	coord count + mean dist in h init
3efdae1	0.160517	0.9	A3	discard	dual-scale RBF narrow+wide
22ed921	0.161559	0.9	A3	discard	angle n_ang 8 -> 6
97085fd	0.159251	1.0	A6	discard	BATCH 64 -> 48
b877971	0.159408	0.9	A6	discard	L1+0.3*MSE blend
42b5bf1	0.160679	0.9	A4	discard	stoch depth 10%
20ee344	0.162793	0.9	A4	discard	angle update scale 0.5 init
abeeb25	0.161518	0.9	A6	discard	EMA 0.005 -> 0.004
8b3a072	0.158578	0.9	A4	discard	add global min pool
4eb8f1b	0.159650	0.9	A4	discard	dropout 0.05 -> 0.025
f3d7c1a	0.161996	0.9	A4	discard	angle output * 0.3 fixed scale
1ead04e	0.161047	0.9	A4	discard	BN affine=False
eca3dad	0.158928	1.0	A3	discard	SG embed 16 -> 32
f16b049	0.156237	0.9	A3	discard	AngleRBF inner centers
f040ed2	0.170265	1.1	A4	discard	CGConv GAT-style attention
924780f	0.156959	0.9	A4	discard	SiLU -> Mish
22947bc	0.160615	0.9	A6	discard	LR 1e-3 -> 8e-4
747f3fd	0.166288	0.9	A4	discard	SiLU -> ELU
95772e5	0.160660	1.0	A4	discard	deeper edge_mlp 2 hidden
c4fce07	0.159720	1.1	A4	discard	CGConv extra SiLU branch
11e5380	0.157533	0.9	A3	discard	RBF centers extended
